config,completion time,mean,stdev,norm dist
50_5,208.53,212.346,3.541255898,0.140609767
50_5,209.44,212.346,3.541255898,0.205933421
50_5,209.49,212.346,3.541255898,0.209979166
50_5,209.71,212.346,3.541255898,0.228326729
50_5,211.31,212.346,3.541255898,0.384932465
50_5,211.96,212.346,3.541255898,0.456600897
50_5,213.44,212.346,3.541255898,0.621312592
50_5,213.56,212.346,3.541255898,0.634131643
50_5,216.18,212.346,3.541255898,0.860521815
50_5,219.84,212.346,3.541255898,0.982836031
